,group,distinct_hit_ips,overlaps,avg_overlap_times,avg_dest_ports
323,33726,115068,0.0,0.0,63669.585
351,34107,114999,0.0,0.0,194.00384615384615
320,33723,114370,0.0,0.0,58873.929999999986
363,34137,112887,0.0,0.0,194.0
321,33724,104427,0.0,0.0,60272.87999999999
359,34133,104282,0.0,0.0,58773.44545454546
361,34135,103580,0.0,0.0,58654.41818181818
345,34100,102721,0.0,0.0,59418.01000000001
66,7078,101259,0.0,0.0,5468.107894736842
356,34117,99537,0.0,0.0,50828.46071428571
65,7075,98890,0.0,0.0,5468.914705882352
349,34105,96118,0.0,0.0,194.0
355,34116,91290,0.0,0.0,50953.31
346,34101,86198,0.0,0.0,59413.240000000005
154,19293,85326,0.0,0.0,87.16666666666667
362,34136,81180,0.0,0.0,58658.100000000006
72,7100,80441,0.0,0.0,5471.271428571429
62,7069,80255,0.0,0.0,5470.007142857142
86,7398,79771,0.0,0.0,1.5
350,34106,79767,0.0,0.0,194.0
322,33725,78810,0.0,0.0,60275.51666666666
64,7073,78261,0.0,0.0,5275.257142857144
63,7071,78099,0.0,0.0,5471.2
360,34134,77192,0.0,0.0,58764.18333333333
353,34109,76509,0.0,0.0,194.0
70,7091,75845,0.0,0.0,5469.9800000000005
69,7090,75787,0.0,0.0,5473.480000000001
347,34103,74901,0.0,0.0,194.0
319,33722,73565,0.0,0.0,194.0
451,42022,73457,0.0,0.0,9.38888888888889
316,33717,73454,0.0,0.0,5468.4375
67,7083,73317,0.0,0.0,5474.3625
77,7250,72581,0.0,0.0,21.822058823529414
450,42021,71331,0.0,0.0,9.38888888888889
348,34104,71173,0.0,0.0,194.0
327,33738,70803,0.0,0.0,267.9166666666667
73,7101,70694,0.0,0.0,5460.95
290,33213,69705,0.0,0.0,22.66388888888889
49,4154,69691,0.0,0.0,262.76721311475404
50,4155,69357,0.0,0.0,308.3758169934641
324,33735,69310,0.0,0.0,315.2352941176471
136,13565,69176,0.0,0.0,36.599999999999994
456,42160,69138,0.0,0.0,10.0
173,19903,68754,0.0,0.0,17.366666666666664
294,33226,68569,0.0,0.0,21.81041666666667
223,29298,68255,0.0,0.0,21.714583333333334
317,33718,68179,0.0,0.0,5469.55
71,7094,68166,0.0,0.0,5474.775
74,7109,68115,0.0,0.0,5471.05
68,7089,68051,0.0,0.0,5474.85
98,8498,68050,0.0,0.0,5472.95
175,19906,67559,0.0,0.0,17.119999999999997
133,12617,67548,0.0,0.0,32.0
467,43752,67363,0.0,0.0,104.1
267,30261,66734,0.0,0.0,3.0
130,12336,66704,0.0,0.0,14.199468791500664
460,42409,66248,0.0,0.0,5.3999999999999995
474,44404,65682,0.0,0.0,101.85
244,29741,65628,0.0,0.0,21.673076923076923
79,7254,65546,0.0,0.0,22.974418604651166
289,33211,65285,0.0,0.0,22.71964285714285
46,4149,65170,0.0,0.0,1.0
174,19904,65117,0.0,0.0,17.516666666666666
15,3027,64807,0.0,0.0,239.14333333333332
10,2991,64651,0.0,0.0,239.23181818181817
358,34124,64603,0.0,0.0,24.7
12,2997,64498,0.0,0.0,23.068333333333335
124,12130,64490,0.0,0.0,40.666666666666664
100,8848,64443,0.0,0.0,22.475
403,39351,64295,0.0,0.0,52.616666666666674
156,19321,64194,0.0,0.0,1.0
452,42068,64083,0.0,0.0,239.1576923076923
199,25910,64075,0.0,0.0,172.27142857142857
273,31970,64049,0.0,0.0,168.72222222222223
407,39355,64028,0.0,0.0,108.225
113,11934,63920,0.0,0.0,43.06666666666666
382,34336,63880,0.0,0.0,22.94166666666667
217,29207,63879,0.0,0.0,10.549999999999999
328,33739,63846,0.0,0.0,296.7638888888889
400,39348,63800,0.0,0.0,46.875
367,34248,63754,0.0,0.0,10.549999999999999
117,11956,63716,0.0,0.0,22.817857142857143
381,34335,63701,0.0,0.0,23.056249999999995
157,19322,63691,0.0,0.0,1.0
274,31971,63663,0.0,0.0,172.00833333333333
475,44423,63630,0.0,0.0,22.904545454545453
275,31976,63628,0.0,0.0,172.1916666666667
461,42410,63607,0.0,0.0,5.4
184,20193,63538,0.0,0.0,14.066666666666666
339,33914,63524,0.0,0.0,172.24
276,31977,63523,0.0,0.0,172.10999999999999
142,15362,63509,0.0,0.0,14.066666666666666
129,12335,63503,0.0,0.0,63.96666666666667
271,30285,63498,0.0,0.0,14.066666666666666
329,33740,63496,0.0,0.0,312.078431372549
272,30295,63485,0.0,0.0,10.549999999999999
3,2067,63453,0.0,0.0,14.066666666666666
23,4018,63423,0.0,0.0,1.0
51,4156,63420,0.0,0.0,310.2549019607843
135,13564,63405,0.0,0.0,37.90909090909091
224,29303,63356,0.0,0.0,23.04
16,3987,63311,0.0,0.0,1.0
13,2998,63275,0.0,0.0,23.030769230769234
111,11932,63245,0.0,0.0,46.54999999999999
52,4157,63206,0.0,0.0,291.72222222222223
437,42003,63020,0.0,0.0,1.0
125,12207,63015,0.0,0.0,23.153846153846153
406,39354,62974,0.0,0.0,54.725
110,11931,62874,0.0,0.0,44.56666666666666
405,39353,62843,0.0,0.0,49.666666666666664
40,4090,62781,0.0,0.0,1.0
179,19999,62754,0.0,0.0,1.125
442,42008,62754,0.0,0.0,1.0
443,42009,62754,0.0,0.0,1.0
446,42012,62754,0.0,0.0,1.2692307692307692
448,42014,62754,0.0,0.0,1.6
464,43744,62754,0.0,0.0,1.2222222222222223
259,30019,62740,0.0,0.0,1.0
404,39352,62677,0.0,0.0,50.6
422,40002,62624,0.0,0.0,1.0
455,42099,62537,0.0,0.0,2228.075
401,39349,62505,0.0,0.0,52.599999999999994
43,4101,62495,0.0,0.0,1.0
423,40003,62298,0.0,0.0,1.0
285,33204,62292,0.0,0.0,2.0
55,5182,62242,0.0,0.0,1.0
58,5185,62242,0.0,0.0,1.0
59,5186,62242,0.0,0.0,1.0
60,5187,62242,0.0,0.0,1.0
176,19993,62242,0.0,0.0,1.0
177,19994,62242,0.0,0.0,1.0
178,19998,62242,0.0,0.0,1.2222222222222223
180,20000,62242,0.0,0.0,1.4615384615384615
181,20001,62242,0.0,0.0,1.0
182,20002,62242,0.0,0.0,1.3636363636363638
312,33562,62242,0.0,0.0,1.2
330,33745,62242,0.0,0.0,1.25
