,group,distinct_hit_ips,overlaps,avg_overlap_times,avg_dest_ports
277,37,172047,0.0,0.0,329.44
331,285,167770,0.0,0.0,12.855722055722058
978,12723,155862,0.0,0.0,1.5018315018315018
806,4,126778,0.0,0.0,50891.3671875
218,269,126302,0.0,0.0,1.461111111111111
4,36,114748,0.0,0.0,347.95
955,12788,110256,0.0,0.0,1.6066666666666667
762,12649,109536,0.0,0.0,1.3434343434343434
457,12641,109534,0.0,0.0,1.3935185185185184
319,2847,109489,0.0,0.0,1.0
289,279,107190,0.0,0.0,12.833333333333334
745,9,104427,0.0,0.0,60272.87999999999
287,171,104087,0.0,0.0,59.68333333333334
747,7,103576,0.0,0.0,63670.81428571429
792,12,102721,0.0,0.0,59418.01000000001
984,12693,101691,0.0,0.0,1.2666666666666666
818,65,101676,0.0,0.0,194.0
923,281,97817,0.0,0.0,12.566666666666668
807,63,97377,0.0,0.0,194.0
376,331,97371,0.0,0.0,87.0
802,62,96903,0.0,0.0,194.0
742,24,95728,0.0,0.0,58880.80625
1029,12890,93897,0.0,0.0,1.3125
378,328,93659,0.0,0.0,126.88888888888887
803,60,92486,0.0,0.0,194.0
812,27,92483,0.0,0.0,58772.32857142857
743,25,89063,0.0,0.0,58864.549999999996
800,58,88550,0.0,0.0,194.01
176,2933,86476,0.0,0.0,1.3333333333333333
793,11,86198,0.0,0.0,59413.240000000005
796,47,85164,0.0,0.0,194.0
799,57,84505,0.0,0.0,194.0
801,54,84401,0.0,0.0,194.0
748,8,84166,0.0,0.0,63666.71666666667
808,61,82423,0.0,0.0,194.0
815,23,81294,0.0,0.0,58651.8625
816,13,81180,0.0,0.0,58658.100000000006
817,22,80993,0.0,0.0,58672.7625
564,12635,80774,0.0,0.0,1.709090909090909
738,14,80373,0.0,0.0,5468.321428571428
139,29,80255,0.0,0.0,5470.007142857142
142,43,80202,0.0,0.0,5275.9875
798,51,79767,0.0,0.0,194.0
746,10,78810,0.0,0.0,60275.51666666666
819,64,78752,0.0,0.0,194.0
744,6,78650,0.0,0.0,60274.200000000004
740,53,78397,0.0,0.0,194.0
797,48,78379,0.0,0.0,194.0
150,34,78277,0.0,0.0,5468.033333333333
141,30,78099,0.0,0.0,5471.2
146,26,77971,0.0,0.0,5474.525000000001
434,2928,77657,0.0,0.0,17.304723707664888
165,2939,77593,0.0,0.0,139.69
1157,156,77518,0.0,0.0,175.55714285714285
814,28,77335,0.0,0.0,58775.98333333334
813,20,77192,0.0,0.0,58764.18333333333
199,298,76519,0.0,0.0,57.86243386243387
863,104,76446,0.0,0.0,68.28125
