,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
818384,818427,3248717065.0,3248717056.0,20,211298.0,GB,,86377.1,3500.0,12734.75,2226.05,-17979891.35,5.3,17979656.4,8032.6,18125.5,2.2937484968456783,1.35,1.0,0.0,-234.95,1248.0,3.0,5.0,0.0,23.0,74
818505,818548,3248717186.0,3248717056.0,20,211298.0,GB,,86375.35,3600.0,12741.5,2223.6,-17979544.6,28.1,17979620.5,8009.5,18140.65,2.2995444952625874,1.3,1.0,0.0,75.9,1122.0,3.0,5.0,0.0,23.0,74
818521,818564,3248717202.0,3248717056.0,20,211298.0,GB,,86376.9,3600.0,12756.05,2235.4,-17980160.9,-120.45,17979660.1,7805.1,18129.05,2.338509076763233,1.4,1.0,0.0,-500.8,880.0,3.0,5.0,0.0,23.0,74
818555,818598,3248717236.0,3248717056.0,20,211298.0,GB,,86375.25,3700.0,12711.25,2222.55,-17978830.7,8.675,17978575.3,7803.75,18084.2,2.3341257207507105,1.35,1.0,0.0,-255.4,993.0,3.0,5.0,0.0,23.0,74
818562,818605,3248717243.0,3248717056.0,20,211298.0,GB,,86376.05,3650.0,12724.55,2216.15,-17980668.9,-14.2,17979676.1,7871.8,18117.9,2.3283042553291757,1.1,1.0,0.0,-992.8,783.0,3.0,5.0,0.0,23.0,74
818567,818610,3248717248.0,3248717056.0,20,211298.0,GB,,86379.35,3650.0,12727.85,2219.35,-17979057.75,-27.175,17978719.25,7862.55,18085.35,2.3263018577660297,1.05,1.0,0.0,-338.5,995.0,3.0,5.0,0.0,23.0,74
818597,818640,3248717278.0,3248717056.0,20,211298.0,GB,,86375.9,3650.0,12719.9,2207.8,-17979392.4,4.225,17979063.85,7743.65,18088.65,2.351030428933078,1.2,1.0,0.0,-328.55,655.0,3.0,5.0,0.0,23.0,74
818602,818645,3248717283.0,3248717056.0,20,211298.0,GB,,86377.1,3600.0,12732.2,2237.95,-17980418.3,52.8,17979949.2,7724.0,18145.65,2.363955714165585,1.4,1.0,0.0,-469.1,1248.0,3.0,5.0,0.0,23.0,74
818617,818660,3248717298.0,3248717056.0,20,211298.0,GB,,86377.4,3700.0,12744.2,2241.8,-17980359.85,-56.4,17980781.7,7739.35,18135.35,2.3580334997667154,1.5,1.0,0.0,421.85,988.0,3.0,5.0,0.0,23.0,74
818619,818662,3248717300.0,3248717056.0,20,211298.0,GB,,86376.65,3750.0,12712.95,2226.75,-17980354.65,-8.6,17980059.15,7733.2,18095.95,2.354864356592958,1.15,1.0,0.0,-295.5,989.0,3.0,5.0,0.0,23.0,74
