,Unnamed: 0,src_ip,subnet,active_days,asn,country,city,scan_length_seconds,median_time_diff,distinct_src_ports,distinct_dest_ports,q1_prev_ip,median_prev_ip,q3_prev_ip,distinct_ips,total_hits,probes_per_ip,distinct_fingerprints,distinct_payloads,avg_payload_length,q1q3_delta,top_port,top_fingerprint,generation_algorithm,top_start_hour,top_end_hour,label
340665,340683,1754053634.0,1754053632.0,6,49532.0,US,,60806.66666666666,500.0,115.66666666666669,6992.0,-11709.166666666666,0.0,11957.333333333334,22.5,20660.33333333333,1248.6632157151023,2.0,1.0,0.0,248.16666666666663,11538.0,11.0,5.0,0.0,23.0,86
340666,340684,1754053638.0,1754053632.0,6,49532.0,US,,61926.66666666666,500.0,115.16666666666669,7136.833333333333,-12011.666666666666,0.0,13402.5,22.5,21233.666666666668,1305.8598280650167,1.8333333333333333,1.0,0.0,1390.8333333333333,1383.0,11.0,5.0,0.0,23.0,86
340668,340686,1754053646.0,1754053632.0,6,49532.0,US,,62043.5,500.0,118.16666666666669,7130.5,-13298.0,0.0,13298.0,22.0,21683.33333333333,1417.205064935065,1.8333333333333333,1.0,0.0,0.0,8290.0,11.0,5.0,0.0,23.0,86
340669,340687,1754053650.0,1754053632.0,6,49532.0,US,,62240.5,500.0,111.66666666666669,6710.833333333333,-12215.5,0.0,12215.5,22.166666666666668,20724.5,1216.2625626007978,1.8333333333333333,1.0,0.0,0.0,9105.0,11.0,5.0,0.0,23.0,86
340670,340688,1754053654.0,1754053632.0,6,49532.0,US,,62091.833333333336,500.0,115.5,6961.166666666667,-12109.166666666666,0.0,12188.5,21.83333333333333,21364.83333333333,1358.1265460729746,1.3333333333333333,1.0,0.0,79.33333333333333,14466.0,11.0,5.0,0.0,23.0,86
340671,340689,1754053662.0,1754053632.0,6,49532.0,US,,62083.0,500.0,116.83333333333331,7037.0,-11736.166666666666,0.0,11984.333333333334,22.5,21786.666666666668,1352.7270583190395,2.0,1.0,0.0,248.16666666666663,11085.0,11.0,5.0,0.0,23.0,86
340673,340691,1754053670.0,1754053632.0,6,49532.0,US,,62492.0,500.0,112.83333333333331,6831.666666666667,-9746.166666666666,0.0,9752.833333333334,21.83333333333333,20283.166666666668,1270.6346629560917,1.1666666666666667,1.0,0.0,6.666666666666667,12546.0,11.0,5.0,0.0,23.0,86
340674,340692,1754053674.0,1754053632.0,6,49532.0,US,,62011.0,500.0,116.66666666666669,7015.0,-11475.5,0.0,12345.833333333334,22.5,20958.33333333333,1288.8015702850607,1.3333333333333333,1.0,0.0,870.3333333333334,12788.0,11.0,5.0,0.0,23.0,86
340675,340693,1754053678.0,1754053632.0,6,49532.0,US,,62127.16666666666,500.0,108.5,6634.166666666667,-11820.0,0.0,12044.5,22.0,19348.33333333333,1187.8779653679655,1.3333333333333333,1.0,0.0,224.5,19312.0,11.0,5.0,0.0,23.0,86
340677,340695,1754053690.0,1754053632.0,6,49532.0,US,,60849.5,500.0,114.16666666666669,6926.166666666667,-11737.333333333334,0.0,13113.333333333334,22.5,20711.666666666668,1187.6934574859104,1.6666666666666667,1.0,0.0,1376.0,376.0,11.0,5.0,0.0,23.0,86
343132,343150,1758363658.0,1758363648.0,6,62904.0,US,,62297.0,500.0,117.16666666666669,7108.0,-11203.166666666666,0.0,11203.166666666666,22.5,21362.33333333333,1294.2750857632934,1.5,1.0,0.0,0.0,9894.0,11.0,5.0,0.0,23.0,86
