,group,distinct_hit_ips,overlaps,avg_overlap_times,avg_dest_ports
126,39,172127,0.0,0.0,10.271537351537352
280,0,126778,0.0,0.0,50891.3671875
267,1,121488,0.0,0.0,63668.645833333336
266,2,119819,0.0,0.0,60273.621875
52,10,118086,0.0,0.0,5471.625
276,3,117824,0.0,0.0,59415.193750000006
54,5,115168,0.0,0.0,5468.937931034482
278,11,114999,0.0,0.0,194.00384615384615
282,13,112887,0.0,0.0,194.0
277,7,109538,0.0,0.0,194.0
55,9,105569,0.0,0.0,5468.309090909091
53,6,87073,0.0,0.0,5275.441666666667
229,267,86971,0.0,0.0,1.0219298245614035
235,3646,85566,0.0,0.0,5.409375000000001
233,270,79551,0.0,0.0,2.9569892473118276
131,459,78685,0.0,0.0,8.310084598561161
60,1531,72909,0.0,0.0,21.861111111111114
29,357,70866,0.0,0.0,1.5933035714285713
272,304,70825,0.0,0.0,267.9046875
343,14,70307,0.0,0.0,2223.142307692308
248,1718,69767,0.0,0.0,22.70067567567568
38,46,69691,0.0,0.0,262.76721311475404
269,302,69447,0.0,0.0,315.10526315789474
39,44,69420,0.0,0.0,308.4747162022704
99,1554,69417,0.0,0.0,4.954887218045113
251,1716,68929,0.0,0.0,21.798000000000002
215,1481,68757,0.0,0.0,1.4587529137529136
232,271,68622,0.0,0.0,1.0
214,1524,68613,0.0,0.0,22.05862068965518
197,1715,68255,0.0,0.0,21.714583333333334
342,745,67557,0.0,0.0,215.49117647058824
98,1711,67144,0.0,0.0,22.417142857142856
15,1276,66769,0.0,0.0,212.36199999999997
16,1528,66687,0.0,0.0,22.692857142857143
61,1279,66653,0.0,0.0,1.4927533251062661
328,272,66465,0.0,0.0,1.0178571428571428
25,387,66329,0.0,0.0,1.0
340,1712,66094,0.0,0.0,22.578260869565216
291,1525,65814,0.0,0.0,22.73
62,1529,65546,0.0,0.0,22.974418604651166
247,1714,65285,0.0,0.0,22.71964285714285
231,1872,65052,0.0,0.0,23.7921875
19,1277,64960,0.0,0.0,239.14499999999998
236,247,64915,0.0,0.0,172.75
281,1875,64603,0.0,0.0,24.7
206,2019,64498,0.0,0.0,14.159615384615384
292,1526,63880,0.0,0.0,22.94166666666667
152,1380,63722,0.0,0.0,4.276470588235294
104,1530,63715,0.0,0.0,22.876470588235293
33,383,63646,0.0,0.0,1.0
154,1755,63538,0.0,0.0,14.066666666666666
123,1754,63509,0.0,0.0,14.066666666666666
234,1286,63498,0.0,0.0,14.066666666666666
